발생시각,규모,깊이(km),위도,경도,발생일,p_arrival_utc,s_arrival_utc
2017-11-20 03:17:20,1.5,11.0,36.1,129.36,2017-11-20,2017-11-19 18:17:24.868349977+00:00,2017-11-19 18:17:27.155466557+00:00
2017-11-20 01:39:26,1.6,10.0,36.08,129.33,2017-11-20,2017-11-19 16:39:30.553190332+00:00,2017-11-19 16:39:32.642909417+00:00
2017-11-20 01:27:14,1.6,10.0,36.13,129.39,2017-11-20,2017-11-19 16:27:19.073044749+00:00,2017-11-19 16:27:21.200264856+00:00
2017-11-19 23:45:47,3.5,9.0,36.12,129.36,2017-11-19,2017-11-19 14:45:51.633547004+00:00,2017-11-19 14:45:53.552129579+00:00
2017-11-19 23:36:08,1.6,7.0,36.11,129.36,2017-11-19,2017-11-19 14:36:12.583897864+00:00,2017-11-19 14:36:14.122753354+00:00
2017-11-19 22:57:42,1.2,9.0,36.09,129.36,2017-11-19,2017-11-19 13:57:46.811690757+00:00,2017-11-19 13:57:48.740875092+00:00
2017-11-19 22:35:29,1.4,10.0,36.09,129.34,2017-11-19,2017-11-19 13:35:33.605040065+00:00,2017-11-19 13:35:35.698919674+00:00
2017-11-19 22:30:35,0.9,5.0,36.1,129.35,2017-11-19,2017-11-19 13:30:39.425778588+00:00,2017-11-19 13:30:40.555912926+00:00
2017-11-19 22:05:39,1.5,,36.13,129.39,2017-11-19,,
2017-11-19 20:52:11,1.6,11.0,36.1,129.35,2017-11-19,2017-11-19 11:52:15.735345889+00:00,2017-11-19 11:52:18.010570104+00:00
2017-11-19 20:20:20,1.3,7.0,36.1,129.37,2017-11-19,2017-11-19 11:20:24.785309587+00:00,2017-11-19 11:20:26.331310603+00:00
2017-11-19 20:16:04,1.6,10.0,36.09,129.35,2017-11-19,2017-11-19 11:16:08.736688378+00:00,2017-11-19 11:16:10.840679124+00:00
2017-11-19 19:39:33,1.4,7.0,36.1,129.34,2017-11-19,2017-11-19 10:39:37.366324035+00:00,2017-11-19 10:39:38.896687699+00:00
2017-11-19 19:17:01,1.6,5.0,36.08,129.33,2017-11-19,2017-11-19 10:17:05.303023691+00:00,2017-11-19 10:17:06.430646794+00:00
2017-11-19 19:15:46,1.4,6.0,36.14,129.37,2017-11-19,2017-11-19 10:15:50.550993031+00:00,2017-11-19 10:15:51.889635682+00:00
2017-11-19 18:59:08,1.6,13.0,36.09,129.34,2017-11-19,2017-11-19 09:59:12.821713826+00:00,2017-11-19 09:59:15.425514779+00:00
2017-11-19 18:07:20,1.3,6.0,36.11,129.35,2017-11-19,2017-11-19 09:07:24.398928897+00:00,2017-11-19 09:07:25.733269860+00:00
2017-11-19 18:03:12,1.5,7.0,36.1,129.35,2017-11-19,2017-11-19 09:03:16.505000761+00:00,2017-11-19 09:03:18.040875903+00:00
2017-11-19 14:27:49,1.9,9.0,36.1,129.37,2017-11-19,2017-11-19 05:27:53.883000920+00:00,2017-11-19 05:27:55.816196358+00:00
2017-11-19 12:56:56,1.6,9.0,36.11,129.36,2017-11-19,2017-11-19 03:57:00.685853473+00:00,2017-11-19 03:57:02.607639108+00:00
2017-11-19 10:27:55,1.3,11.0,36.11,129.35,2017-11-19,2017-11-19 01:27:59.675785455+00:00,2017-11-19 01:28:01.945435902+00:00
2017-11-19 08:45:37,1.6,6.0,36.11,129.37,2017-11-19,2017-11-18 23:45:41.685595932+00:00,2017-11-18 23:45:43.027807793+00:00
2017-11-19 07:32:19,1.6,5.0,36.14,129.36,2017-11-19,2017-11-18 22:32:23.365990086+00:00,2017-11-18 22:32:24.494919162+00:00
2017-11-19 07:12:41,1.1,7.0,36.12,129.37,2017-11-19,2017-11-18 22:12:45.674418233+00:00,2017-11-18 22:12:47.216564221+00:00
2017-11-19 06:40:59,2.2,11.0,36.09,129.34,2017-11-19,2017-11-18 21:41:03.672021445+00:00,2017-11-18 21:41:05.941314228+00:00
2017-11-19 05:54:41,1.5,5.0,36.14,129.37,2017-11-19,2017-11-18 20:54:45.515266502+00:00,2017-11-18 20:54:46.647144546+00:00
2017-11-19 05:50:17,1.4,,36.11,129.36,2017-11-19,,
2017-11-19 05:07:05,2.1,8.0,36.12,129.38,2017-11-19,2017-11-18 20:07:09.864794306+00:00,2017-11-18 20:07:11.608693964+00:00
2017-11-19 04:53:25,1.6,6.0,36.1,129.34,2017-11-19,2017-11-18 19:53:29.322164718+00:00,2017-11-18 19:53:30.654215858+00:00
2017-11-19 04:10:58,0.9,8.0,36.12,129.38,2017-11-19,2017-11-18 19:11:02.864794306+00:00,2017-11-18 19:11:04.608693964+00:00
2017-11-19 04:05:18,1.3,5.0,36.13,129.37,2017-11-19,2017-11-18 19:05:22.552874809+00:00,2017-11-18 19:05:23.685465005+00:00
2017-11-19 03:38:01,1.9,10.0,36.09,129.35,2017-11-19,2017-11-18 18:38:05.736688378+00:00,2017-11-18 18:38:07.840679124+00:00
2017-11-19 03:35:15,1.5,8.0,36.08,129.35,2017-11-19,2017-11-18 18:35:19.698915940+00:00,2017-11-18 18:35:21.435348335+00:00
2017-11-19 03:33:31,2.4,12.0,36.09,129.35,2017-11-19,2017-11-18 18:33:35.872172430+00:00,2017-11-18 18:33:38.325448884+00:00
2017-11-19 01:51:24,1.5,6.0,36.1,129.33,2017-11-19,2017-11-18 16:51:28.183128485+00:00,2017-11-18 16:51:29.510811456+00:00
2017-11-19 01:41:27,1.4,5.0,36.1,129.35,2017-11-19,2017-11-18 16:41:31.425778588+00:00,2017-11-18 16:41:32.555912926+00:00
2017-11-19 01:26:58,1.6,7.0,36.14,129.37,2017-11-19,2017-11-18 16:27:02.592918087+00:00,2017-11-18 16:27:04.132107523+00:00
2017-11-19 01:18:38,2.0,8.0,36.11,129.34,2017-11-19,2017-11-18 16:18:42.352847089+00:00,2017-11-18 16:18:44.071752156+00:00
2017-11-19 00:59:00,1.5,7.0,36.12,129.37,2017-11-19,2017-11-18 15:59:04.674418233+00:00,2017-11-18 15:59:06.216564221+00:00
2017-11-18 23:38:02,1.4,6.0,36.1,129.35,2017-11-18,2017-11-18 14:38:06.462235749+00:00,2017-11-18 14:38:07.798404062+00:00
2017-11-18 23:29:35,1.6,9.0,36.09,129.34,2017-11-18,2017-11-18 14:29:39.543617165+00:00,2017-11-18 14:29:41.456505782+00:00
2017-11-18 23:28:05,0.9,6.0,36.1,129.36,2017-11-18,2017-11-18 14:28:09.603246916+00:00,2017-11-18 14:28:10.943300515+00:00
2017-11-18 22:06:13,0.9,,36.12,129.37,2017-11-18,,
2017-11-18 21:51:18,1.4,,36.11,129.37,2017-11-18,,
2017-11-18 21:35:10,1.2,7.0,36.11,129.35,2017-11-18,2017-11-18 12:35:14.442313398+00:00,2017-11-18 12:35:15.975741701+00:00
2017-11-18 21:34:18,1.5,6.0,36.1,129.33,2017-11-18,2017-11-18 12:34:22.183128485+00:00,2017-11-18 12:34:23.510811456+00:00
2017-11-18 21:07:06,1.3,,36.11,129.36,2017-11-18,,
